33_EBT,34_MaP,20
7_SANiaR,8_SAOFN,4
19_WdIb,20_DTA,1
20_Bw,21_CHE,1
22_Ml,23_Bw,1
28_BA,29_M,3
29_Ml,30_BA,1
5_FaN,6_CfP,1
24_SAOFN,25_SAP,25
16_WdIb,17_Ml,1
9_Rasras,10_Tas,3
26_M,27_Ml,1
28_Dilih,29_S,20
22_SAOFN,23_SAP,15
20_Bw,21_SU,29
27_SD,28_EBT,1
32_MtD,33_VUTN,1
24_FK,25_Dilih,3
24_STC,25_SCM,1
33_SD,34_EBT,1
26_S,27_SD,1
3_FaN,4_CfP,1
7_SANiaR,8_CtE,3
20_SANiaR,21_DTA,1
23_SU,24_STC,1
31_MtD,32_P,1
31_P,32_SD,21
24_STC,25_SAP,1
1_RaS,2_CfP,1
36_MtD,37_VUTN,1
19_STC,20_Bw,1
23_CHE,24_STC,1
18_Dilih,19_WdIb,1
17_Wat,18_SaD,1
2_RaS,3_FaN,1
15_WdIb,16_SANiaR,17
14_Wat,15_SaD,37
7_MaP,8_TCaS,1
11_SF,12_FB,22
12_Tas,13_CM,3
20_WdIb,21_STC,1
26_Dilih,27_S,11
17_FB,18_Wat,1
25_Dilih,26_S,1
28_SD,29_MaP,1
18_DTA,19_Ml,33
30_Ml,31_P,3
7_RLNiA,8_Rasras,1
7_FtLWiaS,8_TCaS,1
24_CHE,25_SU,1
27_FK,28_Dilih,22
16_SANiaR,17_DTA,15
2_FB,3_Wat,1
0_MB,1_RaS,174
27_S,28_SD,6
14_SF,15_FB,1
18_SANiaR,19_DTA,1
5_TCaS,6_RLNiA,92
37_Ml,38_P,1
0_MB,1_CtE,1
8_CtE,9_Rasras,3
34_EBT,35_MaP,1
28_M,29_Ml,1
20_Ml,21_Bw,1
31_MaP,32_VUTN,1
21_STC,22_SAOFN,13
18_SU,19_STC,1
30_BA,31_MtD,1
7_CtE,8_Rasras,79
26_SCM,27_S,1
22_CHE,23_STC,28
27_M,28_Ml,1
10_CM,11_SF,68
12_M,13_FB,39
13_Rasras,14_Tas,1
5_FtLWiaS,6_TCaS,1
30_MaP,31_VUTN,2
16_DTA,17_Bw,1
12_CtE,13_Rasras,1
1_CtE,2_RaS,1
14_SaD,15_M,1
25_SU,26_FK,1
17_Bw,18_STC,1
25_Dilih,26_SCM,1
31_Ml,32_P,1
31_MaP,32_MtD,1
8_TCaS,9_RLNiA,2
6_RLNiA,7_SANiaR,7
6_EBT,7_MaP,1
29_SD,30_M,1
15_M,16_FB,1
28_Ml,29_S,1
9_Tas,10_CM,69
37_BA,38_P,1
38_IU,39_Nrp,15
10_Tas,11_CM,2
14_M,15_SaD,1
8_Rasras,9_Tas,77
36_M,37_Ml,1
20_SAOFN,21_Bw,1
20_DTA,21_Bw,1
37_CR,38_IU,16
27_S,28_M,1
28_SCM,29_S,1
15_M,16_WdIb,2
11_MaP,12_CtE,1
10_CtE,11_Rasras,4
1_RaS,2_FB,1
33_M,34_Ml,1
19_DTA,20_Ml,1
17_Ml,18_SANiaR,1
15_SANiaR,16_DTA,1
34_MaP,35_MtD,19
14_WdIb,15_Wat,1
19_SaD,20_SU,1
16_Wat,17_SaD,1
15_Wat,16_SaD,1
21_DTA,22_Ml,1
30_Ml,31_SCM,1
32_VUTN,33_M,1
32_VUTN,33_CR,3
22_M,23_Ml,2
32_P,33_EBT,1
32_P,33_SD,1
30_BA,31_P,20
19_Ml,20_Bw,33
33_P,34_MaP,1
32_CR,33_MtD,1
16_SaD,17_SANiaR,1
35_BA,36_M,1
20_SU,21_STC,12
30_M,31_Ml,1
28_EBT,29_M,1
25_SCM,26_FK,1
17_SaD,18_Dilih,1
35_Ml,36_P,2
23_Bw,24_SU,1
21_STC,22_DTA,1
36_Ml,37_BA,1
15_SaD,16_WdIb,38
19_CHE,20_SU,12
15_SaD,16_SANiaR,1
14_SaD,15_WdIb,17
38_P,39_Nrp,2
16_WdIb,17_DTA,2
33_MtD,34_VUTN,1
32_SD,33_Nrp,1
23_Ml,24_SAOFN,2
18_SAOFN,19_DTA,1
21_SU,22_CHE,29
4_FtLWiaS,5_SD,1
17_M,18_DTA,2
9_SAP,10_SCM,2
33_VUTN,34_M,1
36_P,37_CR,2
5_SD,6_EBT,1
17_DTA,18_SU,1
34_IU,35_Nrp,1
36_VUTN,37_CR,14
27_Ml,28_SCM,1
34_IU,35_BA,1
31_EBT,32_CR,1
10_SCM,11_MaP,1
26_SCM,27_FK,22
14_SF,15_M,2
13_Wat,14_SaD,19
27_Dilih,28_S,1
11_CM,12_SF,2
13_FB,14_WdIb,1
22_SU,23_CHE,1
16_SF,17_FB,1
18_Bw,19_SU,3
25_Dilih,26_M,1
30_VUTN,31_EBT,1
23_STC,24_SAOFN,24
13_Wat,14_WdIb,2
29_EBT,30_MaP,5
32_SD,33_EBT,20
17_DTA,18_Bw,16
33_CR,34_IU,3
34_Ml,35_P,1
10_CM,11_M,1
18_Wat,19_SaD,1
11_SF,12_M,42
14_WdIb,15_SaD,1
32_CR,33_IU,1
22_CHE,23_SU,1
33_MtD,34_IU,1
37_VUTN,38_CR,1
2_FaN,3_CfP,113
8_SAOFN,9_SAP,4
34_IU,35_M,1
34_M,35_Ml,2
28_BA,29_SD,3
22_DTA,23_Bw,1
35_MaP,36_MtD,1
32_MaP,33_MtD,1
28_SD,29_EBT,5
38_CR,39_IU,1
